author_channel_id,cluster_id,pagerank,degree
UC45ueu1S86ZDFYnIiGzRYMA,25,0.0008450817245007993,37
UCXXRHUH9ylNi42ndW36jyLg,32,0.0008363021643919739,70
UCKkizCI7G3lo2rP8dlEdBdA,4,0.0008295446666790392,50
UCh5Bcjlj9zZtmPHY_UZUc9w,0,0.0008285804107572295,86
UCRHX8kQuzssQlTEytykdEjA,27,0.0008279049804195005,69
UCdRncA0Ejq87p_de-0jrH0Q,15,0.000818760325125824,91
UCXLKcoNh2pQBIvoEZZhA1qw,10,0.0008185755426386766,120
UCvUshIk7RJ_BvrMvB_X2YdQ,48,0.0008176341228668561,52
UCu6b-U964HPsAt1wRj1eeQA,0,0.0008154360882475928,87
UCdf82m9aMzLB_b4nEo-Vyxw,29,0.0008141973932334337,44
UCB_GGjQ4RmgCl1PDHFvuz0g,28,0.0008130698923001034,115
UC8pn2Pnk97tP2sRtYpBbL8w,28,0.0008125666263512545,115
UCo_03mdpaLY9rwu0N5jCwkw,27,0.0008085608020322455,67
UCEe14NhWkkkKaucTtPXCPhg,8,0.0008082623024543048,230
UCdbFcwSso-HoK8j0K6QRWjQ,4,0.0008081739401762373,62
UCK2GwxePmRpaT4Yl3jgcadg,25,0.0008026863619598123,34
UCvqJcaI4qy9HrCfOS3BbMaw,19,0.0007991827044450296,58
UCMEK2RrvW6dbJvf7JkeYbCQ,13,0.0007966453978144535,107
UCNQsSQwDwklEX5oA9fCC4Xw,8,0.0007960192627591533,227
UCUJXtnUnITsM1zm8Wg8FL6w,28,0.0007952800574455105,111
UCCBmFvsy4ufUY0Dmt1I9oAQ,9,0.0007940360856722047,71
UC-IH83bEnG5o_jPZhdOOsdg,19,0.0007895116573743855,75
UCXROzEN1yGkQI1Ecx21TFrQ,24,0.0007858930459692226,95
UCFuoZBh1HbSHNYYdoQ0w7XA,28,0.0007851534712157025,116
UC7UPGzUGo1XjvW56HJkMQiQ,0,0.0007845339923985568,77
UCoYaQKCj7Mgi7wmS3ar6Ihw,8,0.0007826677059216093,220
UC9ZDviRL78k5XG-_yo2kF7g,30,0.0007821592374743514,46
UCQNQUyL8wzCyBvEtgdFnEwg,29,0.0007775095104912616,70
UC-_040t_zeUF_jx6_QdYM6Q,13,0.0007748351107292483,104
UCfr8IX2BnK1y99fLXxbCf6A,4,0.0007741695922479214,46
UC5P5jmJg4LuxKWMRHmyZvvg,10,0.0007741392532563844,115
UCGJ8OdxYCzvjv1s0HliWBMg,8,0.0007740517332895844,221
UC2B0TIZpzJ9a1SzWJWAVHnw,48,0.0007694720214863024,51
UCGIRDbrDEYni3SAIRhoQ5rQ,65,0.0007678540745386848,91
UCOcaJQvq3IS1YcSmVBAKHEg,15,0.0007677345829751145,101
UC5KV0K4hT0F4UUkUa59O6SA,9,0.000767520200058756,74
UCYmDgE1CU5_gPvuaVAFnDRQ,12,0.0007664454616597718,34
UC6zy2t6yhNyy879DjjWp3ug,0,0.0007663502760914054,82
UC062pcfuOfiCZXFB7gqfniA,48,0.0007641943539659271,51
UCXgopFaj5p0eOC9oyjEEozQ,15,0.0007638567539671955,99
UC-VP629a57RTbEkvY2FqsqQ,26,0.0007603891792160607,80
UC5i9gBuWlMzQOuJylTQVrGA,33,0.0007603018341755014,75
UCjuH2TUT9gPYkRz3hf5B7dA,13,0.0007467791629391479,99
UC-9t9d6UJvo_-84uHVgxDnQ,8,0.0007453195556237618,209
UCTx--uveosixvPmsAJeP-JQ,79,0.0007452970975346618,30
UCJcBUXNuC0uRn-PzEvNln3g,8,0.0007444876971190884,214
UC-vA4H0cbSpBEWRZegyZLJA,17,0.0007428608544844449,22
UCWJXoCj4TWsqzx3vx9n4p4g,13,0.0007428490499569098,101
UCprgCVUaohcaLiKy8xKX1uw,32,0.0007421562170015543,61
UCSpcKCHhJEE06s7l2Sp6DXA,10,0.0007354846111433738,110
UCXQPexz1qFYlg4eREHt7hPg,27,0.0007353834887902864,60
UCCWv8PaM6UDW2fBLnd4y6TA,8,0.000734839109223631,211
UCdqEd1QNgnlqB-dYYsLjrBg,32,0.0007333460850801941,65
UC1EOEbdyKZQEz1JF-8ADgfg,100,0.0007316985985705462,38
UCibd1XSkwwCNUOxn6Fnf7HA,15,0.0007316471394957447,97
UCJ0sIFZ0VnZ5ta9vxC9PyUA,69,0.0007295469337871674,15
UCvZdORixr5PxIHqbc7bW5eQ,8,0.0007274250803528575,210
UC_LfNM_CKoBv64Paj9dkrqQ,15,0.0007272470520283779,96
UCLHNd3IKDO2l7fTtv5wpoZg,19,0.000725314032510821,54
